epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8773,3.58872,5.5188,3.37537,0.00453,0.48125,0.02961,0.00647,3.18372,4.08351,3.04156,0.00012861,0.00012861,0.00012861
2,22.8238,3.65245,4.99646,3.74499,0.00453,0.48125,0.02961,0.00647,3.18372,4.08351,3.04156,0.000244631,0.000244631,0.000244631
3,31.7936,3.28806,4.98784,3.19515,0.00462,0.43125,0.05987,0.02196,2.86666,4.09947,3.04355,0.000332357,0.000332357,0.000332357
4,40.7494,3.59571,5.00436,3.71219,0.00462,0.43125,0.05987,0.02196,2.86666,4.09947,3.04355,0.000391789,0.000391789,0.000391789
5,50.7019,3.50707,4.89509,3.18995,0.00462,0.43125,0.05987,0.02196,2.86666,4.09947,3.04355,0.000422927,0.000422927,0.000422927
6,61.1182,3.04455,4.91847,3.06397,0.00559,0.48125,0.06198,0.02318,2.53579,4.12817,2.90166,0.000425771,0.000425771,0.000425771
7,71.2792,3.24523,4.88084,3.08463,0.00559,0.48125,0.06198,0.02318,2.53579,4.12817,2.90166,0.00040032,0.00040032,0.00040032
8,82.0755,3.08326,4.6512,3.00406,0.00559,0.48125,0.06198,0.02318,2.53579,4.12817,2.90166,0.000346575,0.000346575,0.000346575
9,92.2401,3.10488,4.79346,2.96263,0.00559,0.48125,0.06198,0.02318,2.53579,4.12817,2.90166,0.000264536,0.000264536,0.000264536
10,102.556,2.86715,4.51005,2.72497,0.00559,0.48125,0.06198,0.02318,2.53579,4.12817,2.90166,0.000154203,0.000154203,0.000154203
